Time (hrs),Bacillus safensis,Bacillus safensis (std),Microbacterium arborescens,Microbacterium arborescens (std),Empty,Empty (std)
0,0.1106000021,0.0068000001,0.2178000063,0.1436000019,0.2879000008,0.1076999977
0.25,0.0997999981,0.0041,0.2409999967,0.1330000013,0.3027000129,0.1213999987
0.5000277778,0.0998999998,0.0043000001,0.2169999927,0.1326999962,0.3027999997,0.1247999966
0.7500277778,0.1001000032,0.0046999999,0.1898999959,0.1351000071,0.2951999903,0.1215000004
1.0000277778,0.1004000008,0.0049999999,0.1907999963,0.1353999972,0.2694999874,0.1202000007
1.2500277778,0.1005000025,0.0054000001,0.1908999979,0.134100005,0.2363000065,0.1234000027
1.5000555556,0.1006999984,0.0055,0.1921000034,0.1363999993,0.1976000071,0.1280000061
1.7500555556,0.1005999967,0.0055999998,0.1903000027,0.1352999955,0.1635999978,0.1330000013
2.0000555556,0.1010999978,0.0059000002,0.1914999932,0.1345999986,0.1509000063,0.1377999932
2.2500833333,0.1010000035,0.0059000002,0.1914000064,0.1354999989,0.1508000046,0.1352999955
2.5000833333,0.1014000028,0.0066,0.1904000044,0.1359000057,0.1512999982,0.1361999959
2.7500833333,0.1014000028,0.0071999999,0.1913000047,0.136500001,0.1501999944,0.1339000016
3.0000833333,0.1014999971,0.0071,0.1922000051,0.136500001,0.150000006,0.1332000047
3.2501111111,0.1018000022,0.0077,0.192900002,0.1383000016,0.1501999944,0.1333000064
3.5001111111,0.1018999964,0.0078999996,0.1920000017,0.1362999976,0.150000006,0.1324000061
3.7501111111,0.1020999998,0.0085000005,0.1923999935,0.1381999999,0.1492000073,0.1307999939
4.0001388889,0.1022000015,0.0085000005,0.1928000003,0.1386000067,0.1486999989,0.1290999949
4.2501388889,0.1020999998,0.0087000001,0.1933999956,0.1396999955,0.1475999951,0.1263999939
4.5001388889,0.1023000032,0.0087000001,0.1934999973,0.1395999938,0.1466999948,0.1237000003
4.7501388889,0.1026000008,0.0091000004,0.1938000023,0.1413999945,0.1458999962,0.1209999993
5.0001666667,0.1026000008,0.0091000004,0.194600001,0.1416999996,0.1455000043,0.1193000004
5.2501666667,0.1028999984,0.0093,0.1950999945,0.1437000036,0.1450999975,0.1185000017
5.5001666667,0.1031000018,0.0099999998,0.1947000027,0.1432999969,0.1453000009,0.116899997
5.7501944444,0.1032000035,0.0102000004,0.1959999949,0.1448999941,0.1447000057,0.1159000024
6.0001944444,0.1033999994,0.0099999998,0.1967000067,0.1448999941,0.1439999938,0.1128000021
6.2501944444,0.1040000021,0.0104999999,0.198300004,0.1466999948,0.143900007,0.1120000035
6.5001944444,0.1039000005,0.0104999999,0.1987999976,0.147300005,0.1437000036,0.1102000028
6.7502222222,0.1041999981,0.0115,0.1982000023,0.148300007,0.141900003,0.1064999998
7.0002222222,0.1048000008,0.0121999998,0.2001000047,0.1512999982,0.1424999982,0.1055999994
7.2502222222,0.1049000025,0.0124000004,0.201700002,0.1517000049,0.1418000013,0.1054000035
7.50025,0.1052000001,0.0120999999,0.202700004,0.1504999995,0.1407999992,0.1023999974
7.75025,0.1058999971,0.0136000002,0.2043000013,0.1538999975,0.1413999945,0.1030000001
8.00025,0.1053000018,0.0131999999,0.2038999945,0.1509000063,0.1411000043,0.1028999984
8.25025,0.1055999994,0.0135000004,0.2032999992,0.1491000056,0.1406999975,0.1001999974
8.5002777778,0.1062999964,0.0137999998,0.2047999948,0.1532000005,0.1407999992,0.1005000025
8.7502777778,0.1067000031,0.0144999996,0.2056999952,0.1511999965,0.1404000074,0.1001999974
9.0002777778,0.1064999998,0.0156999994,0.2061000019,0.150000006,0.140200004,0.1015999988
9.2503055556,0.1071000025,0.0166999996,0.2083999962,0.1520999968,0.1397999972,0.1020999998
9.5003055556,0.1076999977,0.0170000009,0.2107000053,0.1500999928,0.1405999959,0.1032999977
9.7503055556,0.108099997,0.0174000002,0.2124000043,0.1501999944,0.1393000036,0.1027000025
10.0003055556,0.1084000021,0.0181000009,0.2145999968,0.1504999995,0.1396999955,0.1030000001
10.2503333333,0.1084000021,0.0186999999,0.2169000059,0.148300007,0.1396999955,0.1040999964
10.5003333333,0.1093999967,0.0197999999,0.2205999941,0.1474999934,0.1400000006,0.1042999998
10.7503333333,0.1098999977,0.0211999994,0.2245000005,0.1451999992,0.1404999942,0.1068999991
11.0003611111,0.110799998,0.0230999999,0.2285999954,0.1476999968,0.1404000074,0.1066000015
11.2503611111,0.1111999974,0.0237000007,0.2338999957,0.1448999941,0.1400000006,0.1049999967
11.5003611111,0.1114000008,0.0242999997,0.2372999936,0.1463000029,0.1404999942,0.1063999981
11.7503611111,0.1115999967,0.0252,0.2463999987,0.1453000009,0.1406999975,0.1074000001
12.0003888889,0.1115999967,0.0260000005,0.2549999952,0.148300007,0.1410000026,0.1083000004
12.2503888889,0.1111999974,0.0259000007,0.2588,0.1469999999,0.1404999942,0.1076000035
12.5003888889,0.1114000008,0.0264999997,0.2718999982,0.1534000039,0.141200006,0.1086999997
12.7504166667,0.1112999991,0.0269000009,0.2897000015,0.1560000032,0.1404999942,0.1074000001
13.0004166667,0.1111999974,0.0272000004,0.2930000126,0.1569000036,0.1409000009,0.1086999997
13.2504166667,0.1115000024,0.0284000002,0.3167000115,0.1701000035,0.1397999972,0.1049999967
13.5004166667,0.1118000001,0.0284000002,0.3276000023,0.1806000024,0.1404999942,0.1076999977
13.7504444444,0.1120000035,0.0287999995,0.3357999921,0.1817999929,0.1406999975,0.108099997
14.0004444444,0.1123000011,0.0292000007,0.3379000127,0.1871999949,0.140200004,0.1064999998
14.2504444444,0.112999998,0.0306000002,0.3400000036,0.1829999983,0.140200004,0.1067999974
14.5004444444,0.112999998,0.0300999992,0.3350000083,0.176699996,0.1403000057,0.1068999991
14.7504722222,0.1130999997,0.0304000005,0.3605000079,0.1894000024,0.139500007,0.1050999984
15.0004722222,0.1133999974,0.0307999998,0.3583999872,0.1899999976,0.1403000057,0.1071000025
15.2504722222,0.113499999,0.0308999997,0.3725000024,0.1985999942,0.1398999989,0.1055999994
15.5005,0.1137000024,0.0315999985,0.3813999891,0.197300002,0.1405999959,0.1079000011
