Well,Mean,StDev,0;4,1;4,2;4,3;4,4;4,4;3,3;3,2;3,1;3,0;3,0;2,1;2,2;2,3;2,4;2,4;1,3;1,2;1,1;1,0;1,0;0,1;0,2;0,3;0,4;0
A1,1.5923000574,0.2049999982,1.9462000132,1.5085999966,1.363499999,1.7769999504,2.0878999233,1.8976000547,1.5720000267,1.3272000551,1.4035999775,1.3848999739,1.3981000185,1.3794000149,1.4427000284,1.524099946,1.7071000338,1.7043999434,1.5863000154,1.5002000332,1.4500999451,1.4143999815,1.5829000473,1.575600028,1.6598000526,1.7400000095,1.8731000423
B1,1.2496000528,0.0785000026,1.2711999416,1.1909999847,1.1971999407,1.2602000237,1.4201999903,1.4384000301,1.22239995,1.1722999811,1.2517000437,1.2215000391,1.2223000526,1.2001999617,1.1618000269,1.1953999996,1.3302999735,1.3133000135,1.1755000353,1.1612999439,1.2268999815,1.2256000042,1.1993000507,1.200799942,1.2762000561,1.3104000092,1.3939000368
C1,0.6786000133,0.1396999955,0.8471999764,0.5820999742,0.6244000196,0.6245999932,1.2158999443,0.7972000241,0.6694999933,0.6302999854,0.5942999721,0.5273000002,0.5819000006,0.5924000144,0.5978000164,0.7084000111,0.7538999915,0.6812999845,0.6305000186,0.727699995,0.5338000059,0.7042000294,0.7045000196,0.5924000144,0.6613000035,0.5806000233,0.8022000194
D1,0.912899971,0.1829999983,0.9031000137,0.7713000178,0.8111000061,1.2670999765,1.4635000229,1.0388000011,0.9495999813,1.0636999607,0.7509999871,0.695299983,0.7791000009,0.8244000077,0.9474999905,1.1519999504,1.0398000479,1.0094000101,0.9125000238,0.7544999719,0.8938999772,0.7649000287,0.7821000218,0.77700001,0.7694000006,0.777700007,0.923699975
E1,0.551699996,0.5478000045,0.7842000127,0.1418000013,0.3140999973,0.1562000066,1.4383000135,0.182099998,0.1308999956,0.1264999956,0.1220000014,0.126000002,0.7871000171,0.2754999995,0.1213999987,0.1248999983,0.4851999879,0.2833000124,0.121799998,0.1193000004,1.1971000433,1.8430000544,1.608199954,1.4881000519,0.3971000016,0.6014999747,0.8176000118
F1,1.1595000029,0.1207000017,1.2301000357,1.1785999537,1.1891000271,1.1292999983,1.3309999704,1.0494999886,1.0980000496,1.1114000082,1.1302000284,1.1842000484,1.2835999727,1.1102000475,1.0829000473,1.0929000378,0.9926999807,1.0336999893,1.0815000534,1.0641000271,1.1267999411,1.3424999714,1.5076999664,1.3128999472,1.074000001,1.0321999788,1.2180000544
G1,1.277799964,0.1002999991,1.2812999487,1.3092000484,1.3398000002,1.3588000536,1.5645999908,1.3939000368,1.1750999689,1.1958999634,1.1881999969,1.1778999567,1.1196000576,1.203099966,1.2914999723,1.211400032,1.2891999483,1.2618999481,1.1984000206,1.3236999512,1.2137999535,1.1727000475,1.3141000271,1.347900033,1.3078000546,1.2475999594,1.456799984
H1,1.2438999414,0.2073999941,1.5255000591,1.227699995,1.079300046,1.2221000195,1.736899972,1.382799983,1.1229000092,1.0766999722,1.0494999886,1.4622000456,0.8896999955,1.057700038,1.1427999735,1.0190000534,1.2633999586,1.3214000463,1.0964000225,1.1103999615,1.1184999943,1.0875999928,1.388100028,1.2380000353,1.4191000462,1.4478000402,1.611199975
A2,0.7287999988,0.2319999933,0.9937000275,0.736800015,0.7261000276,0.918200016,1.3926000595,1.1495000124,0.7455000281,0.5600000024,0.5085999966,0.5464000106,0.6711999774,0.5845999718,0.5507000089,0.5005999804,1.0313999653,0.7663999796,0.4984999895,0.560199976,0.5722000003,0.5885000229,0.6758999825,0.4961999953,0.6829000115,0.7709000111,0.9929999709
B2,1.8391000032,0.1168000028,2.0002999306,1.8420000076,1.8005000353,1.8680000305,2.0425999165,1.8621000051,1.7079000473,1.7390999794,1.7575999498,1.8100999594,1.839400053,1.780099988,1.7930999994,1.6157000065,1.8355000019,1.8313000202,1.5759999752,1.7233999968,1.9121999741,1.9586999416,1.9630999565,2.0357000828,1.9035999775,1.8667000532,1.9140000343
