Well,Mean,StDev,0;4,1;4,2;4,3;4,4;4,4;3,3;3,2;3,1;3,0;3,0;2,1;2,2;2,3;2,4;2,4;1,3;1,2;1,1;1,0;1,0;0,1;0,2;0,3;0,4;0
A1,1.6233999729,0.205400005,1.5189000368,1.5092999935,1.5666999817,1.5177999735,1.5263999701,1.5885000229,1.7569999695,1.8043999672,1.7481000423,1.6043000221,1.7799999714,1.8891999722,1.7542999983,1.8084000349,1.369500041,1.5873999596,1.7617000341,1.8370000124,1.9258999825,1.7434999943,1.0585000515,1.654399991,1.635800004,1.2502000332,1.3889000416
B1,1.0334999561,0.1644999981,1.1319999695,0.9092000127,0.9327999949,1.1799999475,1.5341999531,1.152799964,0.8392000198,0.9997000098,1.075799942,1.0959000587,1.2151999474,1.106400013,0.8931000233,0.9794999957,1.0705000162,0.9782999754,0.9451000094,0.67900002,0.9995999932,1.0824999809,1.121999979,1.0585999489,0.8198999763,0.9034000039,1.1332999468
C1,0.9293000102,0.1914000064,1.1331000328,1.0611000061,0.9646000266,1.2184000015,1.3917000294,1.1023999453,0.8687000275,0.6567000151,0.7488999963,1.0582000017,0.8450999856,0.7257000208,0.7712000012,0.6240000129,0.8278999925,0.9434000254,0.7382000089,0.9358000159,0.7749999762,0.9169999957,0.9926000237,0.9197999835,0.861800015,0.880400002,1.2697999477
D1,2.2599999905,0.1811999977,1.9192999601,2.1287999153,2.1874001026,2.3066999912,2.1837000847,2.2867000103,2.2771999836,2.185199976,2.0912001133,2.0295000076,2.0908000469,2.3870000839,2.3129999638,2.469700098,2.5738999844,2.5836999416,2.5457999706,2.1812000275,2.0992000103,2.0587999821,2.1789000034,2.2090001106,2.339799881,2.551199913,2.3222000599
E1,1.2364000082,0.1621000022,1.4804999828,1.3813999891,1.1832000017,1.465299964,1.6161999702,1.3022999763,1.182199955,1.2158999443,1.1964999437,1.3108999729,1.1705000401,0.9962000251,1.0068000555,1.1847000122,1.2690000534,1.2845000029,1.1750999689,1.002300024,1.0782999992,1.1538000107,1.3454999924,1.1399999857,1.113499999,1.1374000311,1.5169999599
F1,0.9556000233,0.1931000054,1.1139999628,0.763800025,1.086599946,1.2646000385,1.3598999977,1.2453000546,0.7556999922,0.8289999962,0.763199985,0.9566000104,0.8075000048,0.8230999708,1.057700038,1.2014000416,1.0717999935,1.2296999693,0.9258000255,0.7468000054,0.7355999947,0.7871999741,0.8453999758,0.8032000065,0.8281999826,0.8794000149,1.0087000132
G1,0.9110000134,0.1547999978,1.0069999695,0.6883000135,1.0929000378,1.1276999712,1.3201999664,1.0367000103,0.8342999816,0.733099997,0.9322999716,0.7297999859,0.8478999734,0.8126000166,0.7235999703,0.9334999919,0.9797999859,1.0528000593,0.8644000292,0.7845000029,0.8802000284,0.7408999801,0.9204999804,0.8331000209,0.8015999794,1.0031000376,1.0943000317
H1,0.9474999905,0.1821999997,1.1603000164,1.0013999939,1.0273000002,1.1423000097,1.4388999939,1.1576000452,0.8962000012,1.0922000408,0.8108999729,0.9322000146,0.8026000261,0.7304999828,0.752300024,0.7918000221,0.9847999811,1.0147000551,0.8044000268,0.7458000183,0.7504000068,0.8245999813,1.0218000412,0.8197000027,0.8166999817,0.9279000163,1.239199996
A2,1.3870999813,0.1076999977,1.5543999672,1.4606000185,1.3593000174,1.4588999748,1.5691000223,1.4931999445,1.3435000181,1.1684000492,1.2289999723,1.4133000374,1.4687999487,1.3459999561,1.3271000385,1.1879999638,1.4045000076,1.4845999479,1.4183000326,1.3674000502,1.3157000542,1.3756999969,1.4380999804,1.2639000416,1.3901000023,1.2934000492,1.5449999571
B2,1.7732000351,0.1750999987,1.8487000465,1.8982000351,1.8278000355,1.8875999451,2.0253999233,1.9147000313,1.625,1.418200016,1.6090999842,1.771600008,1.6532000303,1.6148999929,1.4301999807,1.5286999941,1.7965999842,1.6999000311,1.5743000507,1.8314000368,1.8954999447,1.9349000454,1.9991999865,2.0023999214,1.9083000422,1.757799983,1.8768999577
C2,0.7129999995,0.2011000067,1.1073999405,0.7714999914,0.6956999898,0.7907000184,1.413599968,0.6769999862,0.5507000089,0.6583999991,0.5819000006,0.537899971,0.4952999949,0.6100000143,0.7929000258,0.5752000213,0.6301000118,0.6552000046,0.7436000109,0.8826000094,0.5961999893,0.6517000198,0.742299974,0.5784000158,0.5365999937,0.6398000121,0.9113000035
D2,2.0169999599,0.1077999994,1.9862999916,2.0878000259,2.217099905,2.1454000473,2.0420999527,2.1473999023,2.1377000809,2.1122000217,2.0278999805,1.8766000271,1.8143999577,1.8731000423,2.0502998829,2.0346000195,2.0896999836,2.0675001144,2.0446000099,1.9911999702,1.8595000505,1.8709000349,1.9018000364,1.9100999832,1.9670000076,2.0699000359,2.0994000435
E2,1.1031999588,0.1502999961,1.3924000263,1.2238999605,1.0320999622,1.09010005,1.3345999718,0.8709999919,0.9246000051,1.1655000448,1.1840000153,1.0422999859,0.9363999963,1.3011000156,1.3057999611,1.1785999537,1.0119999647,0.9735999703,0.9323999882,0.9782999754,1.3224999905,1.0721999407,1.1190999746,1.0549000502,1.0125000477,0.9226999879,1.1973999739
F2,1.8365000486,0.233799994,1.5686999559,1.6179000139,2.0014998913,1.6513999701,1.6238000393,1.7107000351,1.7961000204,1.9201999903,1.923699975,1.7293000221,2.1261999607,2.1751999855,2.0917999744,1.4960000515,1.3072999716,1.7211999893,1.6082999706,2.0179998875,2.2046000957,2.1500999928,1.9249999523,1.9804999828,1.953799963,1.7522000074,1.8586000204
G2,1.6700999737,0.1616999954,1.6503000259,1.825799942,1.587299943,1.75,1.8784999847,1.4795000553,1.4368000031,2.022300005,1.9271999598,1.6045000553,1.6269999743,1.736899972,1.8998999596,1.5698000193,1.6665999889,1.7007000446,1.6583000422,1.6657999754,1.4600000381,1.513100028,1.4077999592,1.4880000353,1.774799943,1.6567000151,1.7642999887
H2,0.7426000237,0.1867000014,0.9176999927,0.6603000164,0.8019999862,0.9034000039,1.3775999546,0.9264000058,0.8264999986,0.6596999764,0.7113999724,0.5946999788,0.5831999779,0.6060000062,0.6717000008,0.746999979,0.8565999866,0.7218000293,0.5717999935,0.6320999861,0.4505000114,0.5935999751,0.7659999728,0.8197000027,0.5932000279,0.6255999804,0.9474999905
A3,1.2096999884,0.1454000026,1.3003000021,1.5197999477,1.3786000013,1.2173000574,1.415199995,1.2382999659,1.2323000431,1.4125000238,1.2606999874,1.1921999454,1.1368999481,1.2369999886,1.0986000299,1.2215000391,1.2239999771,1.147300005,1.1591999531,1.2821999788,1.3378000259,1.1705000401,1.0168999434,1.0389000177,0.948300004,0.8906000257,1.1655999422
B3,1.149799943,0.2757000029,1.3885999918,1.0327999592,0.9247000217,1.3392000198,1.6643999815,1.2268999815,0.8633000255,0.940500021,0.8187999725,0.7950999737,0.9301000237,1.4156999588,1.5154000521,1.2412999868,0.905099988,0.9099000096,1.2389999628,1.5585000515,1.5168999434,1.3801000118,1.1984000206,1.0230000019,0.8537999988,0.7494999766,1.3142999411
C3,1.1787999868,0.1649000049,1.3632999659,1.3126000166,1.2628999949,1.3105000257,1.5181000233,1.3337999582,1.1561000347,1.1808999777,1.1015000343,1.2000000477,0.9905999899,0.9034000039,1.1196000576,1.1804000139,1.2299000025,1.1534999609,1.1517000198,0.8205999732,0.9649999738,0.986100018,1.1263999939,1.3228000402,1.1648999453,1.1599999666,1.4546999931
D3,0.5760999918,0.4535999894,1.2202999592,0.2741999924,0.8026000261,1.1699999571,1.6670000553,0.9524999857,0.1710000038,0.530099988,0.1327999979,1.0167000294,0.8149999976,0.1802999973,0.1315000057,0.3849000037,0.177699998,0.882700026,0.9387999773,0.4133000076,0.1172999963,0.3634000123,0.169599995,0.1509999931,0.3653999865,0.134100005,1.239199996
E3,0.5911999941,0.2437999994,0.8252000213,0.4837000072,0.6288999915,0.5317999721,1.4407999516,0.8288000226,0.4541000128,0.3770000041,0.3535000086,0.6137999892,0.3925000131,0.4158000052,0.4237000048,0.5687000155,0.4582999945,0.8058000207,0.5128999949,0.4704000056,0.6729000211,0.3874999881,0.5812000036,0.358099997,0.4878000021,0.7520999908,0.9559999704
