1	JPL	Microbacteria arborescens	OB179
2	JPL	Bacillus safensis	MER TA 8-2
3	JPL	Bacillus pumilus	MER TA 21
4	JPL	Bacillus megaterium PPB5	273.1.3
5	JPL	Bacillus atrophaeus	MER TA 108
6	JPL	Paenibacillus elgii	MER 157
7	JPL	Bacillus subtilis	InSight12-2
8	JPL	Kocuria rosea	MER TA 28
9	Sacramento Kings	Micrococcus luteus	SK5
10	UC Davis	Leucobacter chironomi	THU
11	San Antonio Spurs	Kocuria kristinae	Spurs2
12	YNLA	Kocuria rhizophila	YNLA1
13	YNNY	Bacillus methylotrophicus	YNNY5
14	YNNC	Kocuria marina	YNNC1
15	Orlando Magic	Bacillus subtilus	ORL2
16	ANS	Bacillus stratosphericus	ANS3A
17	CHF	Bacillus megaterium	CHF3A
18	DMNS	Bacillus atrophaeus	DMNS8A
19	Franklin Institute	Bacillus amyloliquefaciens	FI1B
20	Kitchen Show	Streptomyces kanamyceticus	Kit3
21	Liberty Bell	Bacillus megaterium	LB3A
22	Phillies	Bacillus tequilensis	Phillies10A
23	76ers	Bacillus lichenformis	SN8
24	PW Broncos	Bacillus aryabhattai	MI1C
25	PW-Saints	Bacillus horikoshii	PWS2AY
26	PW-Lake Brantley	Micrococcus luteus	PWLB1C
27	PW-Chittanoga	Bacillus pumilus	Chit1C
28	49ers	Exiguobacterium acetylicum 	FN1H
29	Parkway Middle	Bacillus horikoshii	PM1B
30	PW Apopka	Micrococcus luteus	PWA1C
31	PW Coronado	Unclassified Sphingomonadaceae	PWCor2B
32	PW PeeWee Bengals	Bacillus marisflavi	PW-PWB2A2
33	Smithsonian A&S	Pantoea eucrina	SMI9
34	Field Museum	Paenibacillus mucilaginosus	FM1B
35	Chapman Hill	Arthrobacter nitroguajacolicus	CH2B
36	Deerfield	Bacillus altitudinis	D1B
37	Georgia Tech	Curtobacterium herbarum	G4B
38	Raiders	Bacillus aryabhattai	RAID3B
39	Discover	Micrococcus yunnanensis	DIS2A
40	Montessori	Macrococcus equipercicus	MONT1D
41	WHYY	Macrococcus brunensis	WHYY3B
42	AT&T Park	Exiguobacterium sibiricum	ATT5A
43	Redskins	Exiguobacterium indicum	RED1C
44	Today Show	Bacillus tequilensis	TOD3A
45	St. Joseph's	Microbacterium oleivorans	STJO1A
46	Patriots	Bacillus amyloliquefaciens	PATS2B
47	Titans	Bacillus flexus	TIT1C
48	UC Davis	Curtobacterium pusillum	COR2C
