Sample,Space,STDEVspace,Ground,STDEVground
1,1.7864999771,0.2617025464,1.5764000018,0.4720962023
2,1.2310000062,0.0921134933,0.7995999952,0.0667492933
3,0.847266674,0.2490404658,0.9981999993,0.2502451583
4,1.4112333258,0.1449231606,1.2921333313,0.1646004513
5,1.3786833286,0.0456807382,1.1826333404,0.1383147482
6,1.01365002,0.2988596982,0.8862666686,0.1408036779
7,0.9750000139,0.1637073184,0.6829999983,0.2534681405
8,1.453700006,0.2574658783,1.3228166898,0.1847023864
9,0.9298333327,0.0785096325,0.7957666715,0.1588089066
10,0.8336333235,0.2737559037,1.0593333443,0.1243276846
11,2.0363000035,0.0611124155,1.8890999754,0.1557779
12,2.1778666377,0.1445230538,1.9759166638,0.1928809727
13,0.9613833527,0.0540462912,1.2237000068,0.0877475314
14,1.8020666639,0.0991278362,1.7174500028,0.0762758712
15,1.0416833361,0.0805633542,0.9328333537,0.1892783178
16,1.0193166534,0.1386295826,0.8759500086,0.1272167449
17,1.4650833408,0.4308236147,1.3384833137,0.1384012361
18,1.3425499996,0.0569919194,1.0704833269,0.2533218292
19,1.0272500018,0.0918951949,0.9761833251,0.1351675595
20,0.8846333325,0.1951519458,0.9429500103,0.1567944386
21,1.0846666495,0.2446048447,1.2505166729,0.1456917794
22,0.9981333216,0.1822228019,0.8228000104,0.1518259613
23,0.817566663,0.1331461551,0.7043833335,0.1416389239
24,1.5209000011,0.2815933038,1.4096833467,0.0520418294
25,1.3263333142,0.2007167472,1.2963833213,0.0726818508
26,1.4868666728,0.0341802604,1.4366666476,0.0561048281
27,1.0842666626,0.3055828984,1.1190333168,0.1244283208
28,1.4142333468,0.1776389976,1.3341999749,0.2098974603
29,1.3807000021,0.3436340336,1.4814666708,0.085609305
30,0.9134333332,0.26804266,0.9576666653,0.3388160856
31,0.7126833399,0.1324305067,1.0310833355,0.2029364464
32,1.469600002,0.1871715184,1.4393166502,0.2553629131
33,1.3070666591,0.307400145,1.3624666731,0.0929680522
34,1.4358333151,0.1329600723,1.2832666834,0.1425616291
35,1.6909333467,0.1233223295,1.8246666392,0.2523060106
36,1.0365666449,0.0926970379,0.8550166686,0.1532965833
37,1.2409833471,0.1877886801,1.2738333146,0.1264137665
38,1.3233666718,0.3002447445,1.4776333372,0.1273776474
39,1.6501333217,0.4103775731,1.8431999882,0.2328975288
40,0.9417499999,0.1875188284,1.0111500025,0.1955161029
41,1.0463833312,0.1464152268,1.2529833118,0.1118295034
42,1.0542666713,0.2332607645,1.267416656,0.1356848297
43,1.0698333383,0.15786005,1.3010333578,0.2267180837
44,0.9242166777,0.2056589296,1.159433345,0.09503636
45,1.4736833473,0.3027428394,2.0123666326,0.1386920257
46,1.1389333208,0.1319055128,1.3318333427,0.1236661716
47,1.2699666619,0.236193025,1.6284166773,0.1042914219
48,1.1001999974,0.3017268268,1.3453166684,0.140141531
